Variable 1,Variable 2,Correlation
distance_to_pan_de_azucar,longitude,-0.9545022304420717
distance_to_copacabana_beach,longitude,-0.7067030441844735
property_type,room_type,0.7948460632163395
number_of_reviews_ltm,number_of_reviews,0.789282338508798
review_scores_accuracy,review_scores_rating,0.7520191590165705
distance_to_copacabana_beach,distance_to_cristo_redentor,0.7928933203542309
distance_to_botanical_garden,distance_to_cristo_redentor,0.7435555952278994
distance_to_copacabana_beach,distance_to_pan_de_azucar,0.7763433028717144
distance_to_ipanema_beach,distance_to_copacabana_beach,0.727220144192934
distance_to_botanical_garden,distance_to_ipanema_beach,0.9186978363391979
